date,temp_mean,temp_min,temp_max,precip_sum,humidity_mean,wind_speed_mean,concentration
2019-07-01,18.766666666666666,10.8,25.5,1.8,73.83333333333333,15.466666666666667,0.0
2019-07-02,18.970833333333335,15.1,21.9,0.0,63.208333333333336,17.654166666666665,0.0
2019-07-03,15.716666666666667,12.9,18.9,2.7,69.875,21.445833333333336,0.0
2019-07-04,13.920833333333334,10.5,16.9,0.0,59.458333333333336,26.46666666666667,0.0
2019-07-05,15.016666666666666,10.6,18.7,1.1,62.541666666666664,18.133333333333333,0.0
2019-07-06,14.25,11.6,17.9,3.0,68.375,15.950000000000001,0.0
2019-07-07,14.020833333333334,9.0,19.0,0.2,67.875,14.15,0.0
2019-07-08,16.23333333333333,12.2,20.3,1.5,71.95833333333333,10.054166666666667,0.0
2019-07-09,16.183333333333334,9.7,20.6,0.0,68.33333333333333,8.266666666666667,0.0
2019-07-10,15.445833333333333,11.2,20.0,2.7,75.29166666666667,14.283333333333333,0.0
2019-07-11,14.4625,12.2,17.5,8.9,78.70833333333333,12.641666666666666,0.0
2019-07-12,13.095833333333333,11.0,15.5,7.2,77.33333333333333,6.941666666666666,0.0
2019-07-13,14.366666666666667,10.6,17.4,1.9000000000000001,74.125,5.7124999999999995,0.0
2019-07-14,15.079166666666666,11.0,19.0,2.2,71.70833333333333,5.4750000000000005,0.0
2019-07-15,15.441666666666668,10.2,19.3,0.0,71.16666666666667,6.5874999999999995,0.0
2019-07-16,16.679166666666667,11.4,21.9,7.6000000000000005,79.45833333333333,7.8999999999999995,0.0
2019-07-17,16.95,14.5,21.3,9.0,83.625,6.616666666666667,0.0
2019-07-18,16.758333333333333,13.4,20.9,1.7,83.70833333333333,10.654166666666667,0.0
2019-07-19,15.9,12.3,20.1,5.9,80.04166666666667,11.0625,0.0
2019-07-20,16.7625,13.7,20.9,4.3999999999999995,84.83333333333333,15.8375,0.0
2019-07-21,17.779166666666665,14.3,21.8,0.5,79.54166666666667,13.695833333333333,0.0
2019-07-22,18.741666666666667,11.8,24.7,0.2,74.16666666666667,6.604166666666667,0.0
2019-07-23,17.370833333333334,14.5,19.6,3.2,85.70833333333333,9.408333333333333,0.0
2019-07-24,17.883333333333333,15.3,21.5,3.5,88.70833333333333,5.954166666666667,0.0
2019-07-25,18.1375,13.9,21.7,1.5,87.25,9.920833333333333,0.0
2019-07-26,21.8125,16.9,26.5,0.0,71.45833333333333,15.200000000000001,0.0
2019-07-27,22.474999999999998,16.7,27.5,0.30000000000000004,66.83333333333333,12.5,0.0
2019-07-28,21.420833333333334,17.5,25.4,0.1,68.79166666666667,16.395833333333332,0.0
2019-07-29,13.908333333333333,10.6,16.9,0.0,56.791666666666664,15.237499999999999,0.0
2019-07-30,12.383333333333333,9.2,15.8,0.0,57.583333333333336,17.216666666666665,0.0
2019-07-31,11.058333333333332,8.7,14.6,3.4000000000000004,71.875,22.025000000000002,0.0
2019-08-01,12.845833333333333,9.0,15.1,0.7,74.125,14.820833333333333,0.0
2019-08-02,13.237499999999999,11.1,15.5,0.30000000000000004,76.41666666666667,12.858333333333334,0.0
2019-08-03,13.558333333333332,9.7,16.9,0.8,73.29166666666667,12.516666666666666,0.0
2019-08-04,11.129166666666668,7.6,13.5,1.3,73.20833333333333,14.741666666666667,0.0
2019-08-05,10.083333333333334,6.2,13.1,2.1,78.54166666666667,16.558333333333334,0.0
2019-08-06,12.9125,8.8,18.3,0.8,70.29166666666667,17.4875,0.0
2019-08-07,16.379166666666666,10.5,21.0,0.1,72.54166666666667,13.612499999999999,0.0
2019-08-08,18.8625,13.1,24.2,5.9,74.75,9.4125,0.0
2019-08-09,16.641666666666666,14.8,18.7,14.4,83.375,31.058333333333334,0.0
2019-08-10,13.799999999999999,12.4,16.5,12.3,83.25,23.724999999999998,0.0
2019-08-11,13.766666666666666,9.3,18.9,0.0,69.91666666666667,13.679166666666667,0.0
2019-08-12,14.370833333333332,7.6,20.3,0.0,78.91666666666667,4.3625,0.0
2019-08-13,17.708333333333332,10.4,23.9,2.5,77.66666666666667,10.679166666666667,0.0
2019-08-14,19.420833333333334,16.9,22.4,0.4,79.875,12.491666666666667,0.0
2019-08-15,18.929166666666667,15.1,23.8,0.7999999999999999,76.25,16.974999999999998,0.0
2019-08-16,15.420833333333334,13.6,18.6,14.200000000000001,78.95833333333333,12.6875,0.0
2019-08-17,15.283333333333333,12.4,17.7,14.799999999999999,85.33333333333333,18.474999999999998,0.0
2019-08-18,18.204166666666666,15.6,21.7,20.2,86.08333333333333,17.9125,0.0
2019-08-19,17.441666666666666,13.9,20.7,0.9,83.33333333333333,8.375,0.0
2019-08-20,19.8875,12.4,26.9,0.0,77.20833333333333,8.479166666666666,0.0
2019-08-21,20.033333333333335,15.2,24.9,0.2,83.66666666666667,6.675,0.0
2019-08-22,19.366666666666667,13.9,24.2,0.30000000000000004,77.20833333333333,15.804166666666667,0.0
2019-08-23,16.341666666666665,10.2,22.1,0.0,72.375,7.820833333333333,0.0
2019-08-24,17.454166666666666,10.6,22.6,0.0,68.33333333333333,13.700000000000001,0.0
2019-08-25,15.808333333333332,11.4,19.6,0.0,74.33333333333333,13.845833333333333,0.0
2019-08-26,15.200000000000001,9.1,21.2,0.0,73.91666666666667,7.608333333333333,0.0
2019-08-27,17.666666666666668,14.1,21.4,0.30000000000000004,67.29166666666667,17.275000000000002,0.0
2019-08-28,13.241666666666667,9.6,17.4,0.0,66.04166666666667,13.433333333333332,0.0
2019-08-29,14.504166666666668,6.7,21.6,0.0,65.70833333333333,10.0875,0.0
2019-08-30,16.55,9.3,23.3,0.0,65.125,6.779166666666666,0.0
2019-08-31,16.691666666666666,10.4,22.3,0.0,77.41666666666667,6.220833333333334,0.0
2019-09-01,17.204166666666666,9.9,23.8,0.0,73.875,7.620833333333334,0.0
2019-09-02,17.341666666666665,12.3,22.3,0.30000000000000004,77.79166666666667,5.654166666666666,0.0
2019-09-03,17.754166666666666,12.3,23.3,0.0,73.91666666666667,8.520833333333334,0.0
2019-09-04,18.141666666666666,13.7,23.5,0.0,56.458333333333336,14.0375,0.0
2019-09-05,15.8375,14.6,18.4,1.9,85.25,7.570833333333333,0.0
2019-09-06,16.962500000000002,11.8,22.8,0.0,77.75,7.991666666666667,0.0
2019-09-07,16.445833333333333,11.4,21.4,0.30000000000000004,78.70833333333333,8.166666666666666,0.0
2019-09-08,16.933333333333334,11.9,22.1,0.30000000000000004,75.0,6.5625,0.0
2019-09-09,16.741666666666667,10.9,23.1,0.0,76.83333333333333,4.925,0.0
2019-09-10,17.175,10.1,24.0,0.0,75.625,8.045833333333333,0.0
2019-09-11,18.366666666666667,12.8,25.8,0.0,66.20833333333333,8.658333333333333,0.0
2019-09-12,18.2625,10.5,25.7,0.0,54.666666666666664,11.379166666666668,0.0
2019-09-13,17.724999999999998,12.5,22.0,0.6000000000000001,57.083333333333336,13.816666666666668,0.0
2019-09-14,14.229166666666666,10.2,16.1,0.7000000000000001,60.333333333333336,22.575,0.0
2019-09-15,10.475,8.0,13.2,4.8999999999999995,67.58333333333333,18.337500000000002,0.0
2019-09-16,12.075000000000001,10.3,15.2,2.2,73.66666666666667,24.879166666666666,0.0
2019-09-17,10.395833333333334,8.4,12.2,3.4,70.54166666666667,22.604166666666668,0.0
2019-09-18,8.770833333333334,5.7,12.9,0.9,81.66666666666667,7.766666666666667,0.0
2019-09-19,7.754166666666666,5.5,11.2,0.7000000000000001,81.33333333333333,13.204166666666666,0.0
2019-09-20,5.595833333333334,3.0,7.6,2.1,86.83333333333333,4.379166666666666,0.0
2019-09-21,5.608333333333333,1.7,9.5,0.7000000000000001,72.83333333333333,12.916666666666666,0.0
2019-09-22,5.325,3.3,7.1,4.3,82.0,24.175,0.0
2019-09-23,4.954166666666667,3.0,8.1,0.2,67.58333333333333,22.733333333333334,0.0
2019-09-24,3.4458333333333333,0.1,7.9,1.0,80.66666666666667,11.512500000000001,0.0
2019-09-25,3.4375,0.0,7.9,0.9,84.375,8.854166666666666,0.0
2019-09-26,6.495833333333334,3.4,11.4,0.1,74.83333333333333,8.633333333333333,0.0
2019-09-27,5.9875,0.7,10.1,0.30000000000000004,80.91666666666667,9.704166666666667,0.0
2019-09-28,7.2375,3.1,10.6,0.1,84.33333333333333,5.408333333333334,0.0
2019-09-29,8.5875,5.3,12.6,2.3,83.20833333333333,13.674999999999999,0.0
2019-09-30,11.120833333333332,8.3,13.9,5.2,90.08333333333333,19.554166666666667,0.0
2019-10-01,12.9625,7.2,17.2,5.0,85.08333333333333,21.916666666666668,0.0
2019-10-02,11.129166666666668,5.7,16.1,0.30000000000000004,74.16666666666667,20.208333333333332,0.0
2019-10-03,14.908333333333333,11.1,19.7,0.0,70.66666666666667,16.708333333333332,0.0
2019-10-04,10.908333333333333,6.0,14.7,3.7,77.625,16.583333333333332,0.0
2019-10-05,7.041666666666667,4.7,10.2,0.1,77.75,8.341666666666667,0.0
2019-10-06,2.8958333333333335,1.4,5.2,9.1,89.70833333333333,23.829166666666666,0.0
2019-10-07,2.525,1.3,4.3,0.30000000000000004,75.125,20.650000000000002,0.0
2019-10-08,2.3208333333333333,-1.0,4.9,0.0,67.08333333333333,18.229166666666668,0.0
2019-10-09,3.7083333333333335,1.3,6.4,5.3,86.16666666666667,16.879166666666666,0.0
2019-10-10,6.7375,4.4,8.8,9.6,93.58333333333333,13.466666666666667,0.0
2019-10-11,8.154166666666667,6.6,10.9,0.8,87.58333333333333,16.745833333333334,0.0
2019-10-12,8.895833333333334,5.8,11.1,6.4,88.75,23.599999999999998,0.0
2019-10-13,9.629166666666666,7.2,12.0,1.2,78.45833333333333,22.724999999999998,0.0
2019-10-14,9.995833333333334,5.5,15.2,5.8,84.08333333333333,16.720833333333335,0.0
2019-10-15,9.4,4.1,14.5,0.6000000000000001,75.04166666666667,17.675,0.0
2019-10-16,4.916666666666667,0.5,8.3,0.0,72.70833333333333,13.866666666666667,0.0
2019-10-17,12.670833333333334,8.1,17.9,0.0,79.91666666666667,18.8,0.0
2019-10-18,11.958333333333334,9.5,15.0,0.30000000000000004,81.41666666666667,12.408333333333333,0.0
2019-10-19,11.729166666666666,8.4,16.1,0.0,83.04166666666667,9.441666666666666,0.0
2019-10-20,12.708333333333334,10.5,16.5,0.2,80.95833333333333,11.320833333333333,0.0
2019-10-21,12.754166666666668,9.0,16.9,4.0,83.54166666666667,15.7875,0.0
2019-10-22,8.816666666666666,6.8,10.8,0.1,83.5,11.333333333333334,0.0
2019-10-23,11.775,9.9,13.6,0.7000000000000001,79.70833333333333,16.791666666666668,0.0
2019-10-24,8.941666666666666,7.1,10.8,0.1,81.0,6.995833333333334,0.0
2019-10-25,8.025,5.1,12.5,0.0,82.08333333333333,8.970833333333333,0.0
2019-10-26,10.1,6.7,12.5,0.30000000000000004,82.375,21.400000000000002,0.0
2019-10-27,12.266666666666666,11.3,13.6,1.9,79.91666666666667,26.520833333333332,0.0
2019-10-28,6.620833333333334,0.4,13.9,0.0,62.666666666666664,24.895833333333332,0.0
2019-10-29,2.6458333333333335,-0.3,6.6,3.3000000000000003,85.0,10.945833333333333,0.0
2019-10-30,-0.4583333333333333,-3.6,2.0,4.0,83.29166666666667,21.608333333333334,0.0
2019-10-31,-2.9958333333333336,-5.1,-1.4,0.0,67.0,14.183333333333332,0.0
2019-11-01,-1.2291666666666667,-4.4,0.1,0.9,72.5,20.329166666666666,0.0
2019-11-02,0.9708333333333333,-1.4,3.5,0.0,84.25,13.566666666666668,0.0
2019-11-03,2.2125,1.0,4.3,5.2,86.54166666666667,25.058333333333334,0.0
2019-11-04,6.825,4.5,8.8,0.5,90.375,22.541666666666668,0.0
